Forming,$H$,$B$,$r_o$,$t$,$L_{c}$,$L_{c}/r$,$F_y$,$N_u (kN)$
Hot-rolled,100,50,21,10.5,3250,105.0043347,355,390.2391563
Hot-rolled,100,50,13.33333333,6.666666667,3250,97.28017249,355,315.00375
Hot-rolled,100,50,6.666666667,3.333333333,3250,91.83282095,355,186.3521563
Hot-rolled,100,50,3.571428571,1.785714286,3250,89.59766462,355,104.4075078
Hot-rolled,50,100,21,10.5,1625,93.43998448,355,475.831125
Hot-rolled,50,100,13.33333333,6.666666667,1625,85.17763667,355,390.4511875
Hot-rolled,50,100,6.666666667,3.333333333,1625,79.03839808,355,228.8480313
Hot-rolled,50,100,3.571428571,1.785714286,1625,76.47015404,355,106.4922891
Hot-rolled,100,50,21,10.5,3500,113.0815913,355,343.2753125
Hot-rolled,100,50,13.33333333,6.666666667,3500,104.7632627,355,279.7052813
Hot-rolled,100,50,6.666666667,3.333333333,3500,98.8968841,355,167.3622813
Hot-rolled,100,50,3.571428571,1.785714286,3500,96.48979267,355,92.89554688
Hot-rolled,50,100,21,10.5,1750,100.6276756,355,421.418
Hot-rolled,50,100,13.33333333,6.666666667,1750,91.72976256,355,350.4603125
Hot-rolled,50,100,6.666666667,3.333333333,1750,85.11827486,355,207.4830313
Hot-rolled,50,100,3.571428571,1.785714286,1750,82.35247358,355,99.273875
Hot-rolled,100,50,21,10.5,3750,121.1588478,355,303.30975
Hot-rolled,100,50,13.33333333,6.666666667,3750,112.2463529,355,248.4279219
Hot-rolled,100,50,6.666666667,3.333333333,3750,105.9609472,355,149.6998438
Hot-rolled,100,50,3.571428571,1.785714286,3750,103.3819207,355,84.74138281
Hot-rolled,50,100,21,10.5,1875,107.8153667,355,373.7372813
Hot-rolled,50,100,13.33333333,6.666666667,1875,98.28188846,355,313.1104375
Hot-rolled,50,100,6.666666667,3.333333333,1875,91.19815163,355,189.600625
Hot-rolled,50,100,3.571428571,1.785714286,1875,88.23479313,355,92.07996094
Hot-rolled,100,50,21,10.5,4000,129.2361043,355,269.4634688
Hot-rolled,100,50,13.33333333,6.666666667,4000,119.7294431,355,221.3770781
Hot-rolled,100,50,6.666666667,3.333333333,4000,113.0250104,355,133.928
Hot-rolled,100,50,3.571428571,1.785714286,4000,110.2740488,355,76.67566406
Hot-rolled,50,100,21,10.5,2000,115.0030578,355,333.0019063
Hot-rolled,50,100,13.33333333,6.666666667,2000,104.8340144,355,279.8222813
Hot-rolled,50,100,6.666666667,3.333333333,2000,97.27802841,355,171.413
Hot-rolled,50,100,3.571428571,1.785714286,2000,94.11711267,355,84.08999219
Hot-rolled,100,50,21,10.5,4250,137.3133608,355,240.6702813
Hot-rolled,100,50,13.33333333,6.666666667,4250,127.2125333,355,198.203375
Hot-rolled,100,50,6.666666667,3.333333333,4250,120.0890735,355,120.155375
Hot-rolled,100,50,3.571428571,1.785714286,4250,117.1661768,355,69.21502344
Hot-rolled,50,100,21,10.5,2125,122.1907489,355,298.3674063
Hot-rolled,50,100,13.33333333,6.666666667,2125,111.3861403,355,251.1892031
Hot-rolled,50,100,6.666666667,3.333333333,2125,103.3579052,355,154.7739531
Hot-rolled,50,100,3.571428571,1.785714286,2125,99.99943221,355,77.71589063
Hot-rolled,100,50,21,10.5,4500,145.3906173,355,215.9832188
Hot-rolled,100,50,13.33333333,6.666666667,4500,134.6956235,355,178.3064219
Hot-rolled,100,50,6.666666667,3.333333333,4500,127.1531367,355,108.2532109
Hot-rolled,100,50,3.571428571,1.785714286,4500,124.0583049,355,62.55256641
Hot-rolled,50,100,21,10.5,2250,129.37844,355,268.725125
Hot-rolled,50,100,13.33333333,6.666666667,2250,117.9382662,355,226.6144219
Hot-rolled,50,100,6.666666667,3.333333333,2250,109.437782,355,140.0160625
Hot-rolled,50,100,3.571428571,1.785714286,2250,105.8817518,355,71.66169531
Hot-rolled,100,50,21,10.5,4750,153.4678739,355,194.6555
Hot-rolled,100,50,13.33333333,6.666666667,4750,142.1787136,355,161.1211406
Hot-rolled,100,50,6.666666667,3.333333333,4750,134.2171998,355,97.97420313
Hot-rolled,100,50,3.571428571,1.785714286,4750,130.9504329,355,56.71192969
Hot-rolled,50,100,21,10.5,2375,136.5661312,355,243.1765156
Hot-rolled,50,100,13.33333333,6.666666667,2375,124.4903921,355,205.3945469
Hot-rolled,50,100,6.666666667,3.333333333,2375,115.5176587,355,127.1267969
Hot-rolled,50,100,3.571428571,1.785714286,2375,111.7640713,355,66.03838281
Hot-rolled,100,50,21,10.5,5000,161.5451304,355,176.082
Hot-rolled,100,50,13.33333333,6.666666667,5000,149.6618038,355,146.1562031
Hot-rolled,100,50,6.666666667,3.333333333,5000,141.281263,355,89.04410938
Hot-rolled,100,50,3.571428571,1.785714286,5000,137.842561,355,51.59926172
Hot-rolled,50,100,21,10.5,2500,143.7538223,355,221.0127813
Hot-rolled,50,100,13.33333333,6.666666667,2500,131.0425179,355,186.9632344
Hot-rolled,50,100,6.666666667,3.333333333,2500,121.5975355,355,115.8850313
Hot-rolled,50,100,3.571428571,1.785714286,2500,117.6463908,355,60.89108984
Hot-rolled,100,50,21,10.5,5250,169.6223869,355,159.8102969
Hot-rolled,100,50,13.33333333,6.666666667,5250,157.144894,355,133.0178906
Hot-rolled,100,50,6.666666667,3.333333333,5250,148.3453261,355,81.21585938
Hot-rolled,100,50,3.571428571,1.785714286,5250,144.734689,355,47.11442578
Hot-rolled,50,100,21,10.5,2625,150.9415134,355,201.6738281
Hot-rolled,50,100,13.33333333,6.666666667,2625,137.5946438,355,170.8589688
Hot-rolled,50,100,6.666666667,3.333333333,2625,127.6774123,355,106.0420391
Hot-rolled,50,100,3.571428571,1.785714286,2625,123.5287104,355,56.18192188
Hot-rolled,100,50,21,10.5,5500,177.6996434,355,145.8587969
Hot-rolled,100,50,13.33333333,6.666666667,5500,164.6279842,355,121.4114375
Hot-rolled,100,50,6.666666667,3.333333333,5500,155.4093893,355,74.29740625
Hot-rolled,100,50,3.571428571,1.785714286,5500,151.6268171,355,43.15371484
Hot-rolled,50,100,21,10.5,2750,158.1292045,355,184.6835469
Hot-rolled,50,100,13.33333333,6.666666667,2750,144.1467697,355,156.7091719
Hot-rolled,50,100,6.666666667,3.333333333,2750,133.7572891,355,97.37310938
Hot-rolled,50,100,3.571428571,1.785714286,2750,129.4110299,355,51.86775781
Hot-rolled,100,50,21,10.5,5750,185.7768999,355,134.190375
Hot-rolled,100,50,13.33333333,6.666666667,5750,172.1110744,355,111.1089063
Hot-rolled,100,50,6.666666667,3.333333333,5750,162.4734524,355,68.14110938
Hot-rolled,100,50,3.571428571,1.785714286,5750,158.5189451,355,39.63265234
Hot-rolled,50,100,21,10.5,2875,165.3168956,355,169.6163594
Hot-rolled,50,100,13.33333333,6.666666667,2875,150.6988956,355,144.2132969
Hot-rolled,50,100,6.666666667,3.333333333,2875,139.8371658,355,89.69571875
Hot-rolled,50,100,3.571428571,1.785714286,2875,135.2933495,355,47.96923828
Hot-rolled,100,50,21,10.5,6000,193.8541564,355,123.8460703
Hot-rolled,100,50,13.33333333,6.666666667,6000,179.5941646,355,101.9272188
Hot-rolled,100,50,6.666666667,3.333333333,6000,169.5375156,355,62.63835938
Hot-rolled,100,50,3.571428571,1.785714286,6000,165.4110731,355,36.47762891
Hot-rolled,50,100,21,10.5,3000,172.5045867,355,156.1963125
Hot-rolled,50,100,13.33333333,6.666666667,3000,157.2510215,355,133.125125
Hot-rolled,50,100,6.666666667,3.333333333,3000,145.9170426,355,82.86783594
Hot-rolled,50,100,3.571428571,1.785714286,3000,141.175669,355,44.53645313
Hot-rolled,100,100,26.66666667,13.33333333,150,4.373759705,460,2639.53525
Hot-rolled,100,100,20,10,150,4.169459954,460,2015.506875
Hot-rolled,100,100,13.33333333,6.666666667,150,3.987256468,460,1110.806625
Hot-rolled,100,100,10,5,150,3.903156608,460,843.7804375
Hot-rolled,100,100,8,4,150,3.854697374,460,678.9558125
Hot-rolled,100,100,6.666666667,3.333333333,150,3.823176597,460,553.90925
Hot-rolled,100,100,5,2.5,150,3.784621729,460,359.598875
Hot-rolled,100,100,3.555555556,1.777777778,150,3.751939854,460,193.7188594
Hot-rolled,100,100,26.66666667,13.33333333,220,6.414847568,460,2503.257
Hot-rolled,100,100,20,10,220,6.115207933,460,1950.765
Hot-rolled,100,100,13.33333333,6.666666667,220,5.847976154,460,1108.2975
Hot-rolled,100,100,10,5,220,5.724629691,460,839.3954375
Hot-rolled,100,100,8,4,220,5.653556149,460,673.1798125
Hot-rolled,100,100,6.666666667,3.333333333,220,5.607325676,460,544.906875
Hot-rolled,100,100,5,2.5,220,5.550778537,460,360.5215
Hot-rolled,100,100,3.555555556,1.777777778,220,5.502845119,460,198.4940469
Hot-rolled,100,100,26.66666667,13.33333333,440,12.82969514,460,1900.814625
Hot-rolled,100,100,20,10,440,12.23041587,460,1526.164
Hot-rolled,100,100,13.33333333,6.666666667,440,11.69595231,460,1083.10775
Hot-rolled,100,100,10,5,440,11.44925938,460,833.9544375
Hot-rolled,100,100,8,4,440,11.3071123,460,669.82
Hot-rolled,100,100,6.666666667,3.333333333,440,11.21465135,460,543.97225
Hot-rolled,100,100,5,2.5,440,11.10155707,460,350.5617813
Hot-rolled,100,100,3.555555556,1.777777778,440,11.00569024,460,188.4865
Hot-rolled,100,100,26.66666667,13.33333333,660,19.2445427,460,1884.90075
Hot-rolled,100,100,20,10,660,18.3456238,460,1514.148875
Hot-rolled,100,100,13.33333333,6.666666667,660,17.54392846,460,1074.821875
Hot-rolled,100,100,10,5,660,17.17388907,460,827.838625
Hot-rolled,100,100,8,4,660,16.96066845,460,666.07025
Hot-rolled,100,100,6.666666667,3.333333333,660,16.82197703,460,542.4830625
Hot-rolled,100,100,5,2.5,660,16.65233561,460,349.188625
Hot-rolled,100,100,3.555555556,1.777777778,660,16.50853536,460,187.3045781
Hot-rolled,100,100,26.66666667,13.33333333,880,25.65939027,460,1865.287625
Hot-rolled,100,100,20,10,880,24.46083173,460,1499.56325
Hot-rolled,100,100,13.33333333,6.666666667,880,23.39190461,460,1064.80675
Hot-rolled,100,100,10,5,880,22.89851876,460,820.0751875
Hot-rolled,100,100,8,4,880,22.61422459,460,660.259625
Hot-rolled,100,100,6.666666667,3.333333333,880,22.4293027,460,538.3645
Hot-rolled,100,100,5,2.5,880,22.20311415,460,346.79075
Hot-rolled,100,100,3.555555556,1.777777778,880,22.01138047,460,186.1041406
Hot-rolled,100,100,26.66666667,13.33333333,1100,32.07423784,460,1840.17225
Hot-rolled,100,100,20,10,1100,30.57603967,460,1481.455
Hot-rolled,100,100,13.33333333,6.666666667,1100,29.23988077,460,1053.18625
Hot-rolled,100,100,10,5,1100,28.62314846,460,811.6596875
Hot-rolled,100,100,8,4,1100,28.26778074,460,654.3038125
Hot-rolled,100,100,6.666666667,3.333333333,1100,28.03662838,460,535.67925
Hot-rolled,100,100,5,2.5,1100,27.75389268,460,346.1123125
Hot-rolled,100,100,3.555555556,1.777777778,1100,27.51422559,460,185.6063438
Hot-rolled,100,100,26.66666667,13.33333333,1320,38.48908541,460,1806.9085
Hot-rolled,100,100,20,10,1320,36.6912476,460,1458.091375
Hot-rolled,100,100,13.33333333,6.666666667,1320,35.08785692,460,1038.26575
Hot-rolled,100,100,10,5,1320,34.34777815,460,800.5466875
Hot-rolled,100,100,8,4,1320,33.92133689,460,645.7775
Hot-rolled,100,100,6.666666667,3.333333333,1320,33.64395406,460,529.597
Hot-rolled,100,100,5,2.5,1320,33.30467122,460,343.2045313
Hot-rolled,100,100,3.555555556,1.777777778,1320,33.01707071,460,183.9715938
Hot-rolled,100,100,26.66666667,13.33333333,1540,44.90393298,460,1761.227
Hot-rolled,100,100,20,10,1540,42.80645553,460,1426.986625
Hot-rolled,100,100,13.33333333,6.666666667,1540,40.93583308,460,1019.098625
Hot-rolled,100,100,10,5,1540,40.07240784,460,786.5815625
Hot-rolled,100,100,8,4,1540,39.57489304,460,634.8963125
Hot-rolled,100,100,6.666666667,3.333333333,1540,39.25127973,460,521.3027813
Hot-rolled,100,100,5,2.5,1540,38.85544976,460,340.259625
Hot-rolled,100,100,3.555555556,1.777777778,1540,38.51991583,460,181.8318281
Hot-rolled,100,100,26.66666667,13.33333333,1760,51.31878054,460,1696.7395
Hot-rolled,100,100,20,10,1760,48.92166347,460,1384.262875
Hot-rolled,100,100,13.33333333,6.666666667,1760,46.78380923,460,993.4925625
Hot-rolled,100,100,10,5,1760,45.79703753,460,768.3389375
Hot-rolled,100,100,8,4,1760,45.22844919,460,620.872875
Hot-rolled,100,100,6.666666667,3.333333333,1760,44.85860541,460,510.7569375
Hot-rolled,100,100,5,2.5,1760,44.40622829,460,326.8943125
Hot-rolled,100,100,3.555555556,1.777777778,1760,44.02276095,460,179.0849063
Hot-rolled,100,100,26.66666667,13.33333333,1980,57.73362811,460,1605.855625
Hot-rolled,100,100,20,10,1980,55.0368714,460,1324.841
Hot-rolled,100,100,13.33333333,6.666666667,1980,52.63178538,460,958.488625
Hot-rolled,100,100,10,5,1980,51.52166722,460,743.7103125
Hot-rolled,100,100,8,4,1980,50.88200534,460,602.129
Hot-rolled,100,100,6.666666667,3.333333333,1980,50.46593108,460,496.5443125
Hot-rolled,100,100,5,2.5,1980,49.95700683,460,328.28475
Hot-rolled,100,100,3.555555556,1.777777778,1980,49.52560607,460,175.5940781
Hot-rolled,100,100,26.66666667,13.33333333,2200,64.14847568,460,1484.649875
Hot-rolled,100,100,20,10,2200,61.15207933,460,1244.323625
Hot-rolled,100,100,13.33333333,6.666666667,2200,58.47976154,460,910.919625
Hot-rolled,100,100,10,5,2200,57.24629691,460,710.268875
Hot-rolled,100,100,8,4,2200,56.53556149,460,576.8269375
Hot-rolled,100,100,6.666666667,3.333333333,2200,56.07325676,460,477.2240938
Hot-rolled,100,100,5,2.5,2200,55.50778537,460,318.9206563
Hot-rolled,100,100,3.555555556,1.777777778,2200,55.02845119,460,171.2008594
Hot-rolled,100,100,26.66666667,13.33333333,2420,70.56332325,460,1340.881125
Hot-rolled,100,100,20,10,2420,67.26728727,460,1143.267125
Hot-rolled,100,100,13.33333333,6.666666667,2420,64.32773769,460,849.2294375
Hot-rolled,100,100,10,5,2420,62.9709266,460,666.3935
Hot-rolled,100,100,8,4,2420,62.18911764,460,543.376875
Hot-rolled,100,100,6.666666667,3.333333333,2420,61.68058244,460,451.5857188
Hot-rolled,100,100,5,2.5,2420,61.0585639,460,306.3887813
Hot-rolled,100,100,3.555555556,1.777777778,2420,60.5312963,460,165.6192344
Hot-rolled,100,100,26.66666667,13.33333333,2640,76.97817082,460,1192.4925
Hot-rolled,100,100,20,10,2640,73.3824952,460,1030.965125
Hot-rolled,100,100,13.33333333,6.666666667,2640,70.17571384,460,776.626125
Hot-rolled,100,100,10,5,2640,68.69555629,460,613.6270625
Hot-rolled,100,100,8,4,2640,67.84267378,460,502.5974063
Hot-rolled,100,100,6.666666667,3.333333333,2640,67.28790811,460,419.9136563
Hot-rolled,100,100,5,2.5,2640,66.60934244,460,290.2612188
Hot-rolled,100,100,3.555555556,1.777777778,2640,66.03414142,460,160.08775
Hot-rolled,100,100,26.66666667,13.33333333,2860,83.39301838,460,1053.89975
Hot-rolled,100,100,20,10,2860,79.49770313,460,919.7900625
Hot-rolled,100,100,13.33333333,6.666666667,2860,76.02369,460,700.323625
Hot-rolled,100,100,10,5,2860,74.42018598,460,556.5364375
Hot-rolled,100,100,8,4,2860,73.49622993,460,457.7312188
Hot-rolled,100,100,6.666666667,3.333333333,2860,72.89523379,460,384.3053438
Hot-rolled,100,100,5,2.5,2860,72.16012097,460,270.9246875
Hot-rolled,100,100,3.555555556,1.777777778,2860,71.53698654,460,150.9793594
Hot-rolled,100,100,26.66666667,13.33333333,3070,89.51628197,460,936.5695
Hot-rolled,100,100,20,10,3070,85.33494707,460,822.0016875
Hot-rolled,100,100,13.33333333,6.666666667,3070,81.60584905,460,630.2491875
Hot-rolled,100,100,10,5,3070,79.88460523,460,502.9182813
Hot-rolled,100,100,8,4,3070,78.89280626,460,414.9587813
Hot-rolled,100,100,6.666666667,3.333333333,3070,78.24768102,460,349.7114063
Hot-rolled,100,100,5,2.5,3070,77.4585914,460,250.6935156
Hot-rolled,100,100,3.555555556,1.777777778,3070,76.78970234,460,142.7067344
Hot-rolled,100,100,26.66666667,13.33333333,3290,95.93112954,460,830.0965
Hot-rolled,100,100,20,10,3290,91.450155,460,731.231375
Hot-rolled,100,100,13.33333333,6.666666667,3290,87.45382521,460,563.329125
Hot-rolled,100,100,10,5,3290,85.60923493,460,450.8684063
Hot-rolled,100,100,8,4,3290,84.5463624,460,372.9143125
Hot-rolled,100,100,6.666666667,3.333333333,3290,83.8550067,460,315.2717188
Hot-rolled,100,100,5,2.5,3290,83.00936993,460,229.1990469
Hot-rolled,100,100,3.555555556,1.777777778,3290,82.29254745,460,133.6561406
Hot-rolled,100,100,26.66666667,13.33333333,3510,102.3459771,460,738.9313125
Hot-rolled,100,100,20,10,3510,97.56536293,460,652.4783125
Hot-rolled,100,100,13.33333333,6.666666667,3510,93.30180136,460,504.2495313
Hot-rolled,100,100,10,5,3510,91.33386462,460,404.3848125
Hot-rolled,100,100,8,4,3510,90.19991855,460,335.0467188
Hot-rolled,100,100,6.666666667,3.333333333,3510,89.46233238,460,283.90325
Hot-rolled,100,100,5,2.5,3510,88.56014847,460,208.622875
Hot-rolled,100,100,3.555555556,1.777777778,3510,87.79539257,460,124.5355234
Hot-rolled,100,100,26.66666667,13.33333333,3730,108.7608247,460,660.9475625
Hot-rolled,100,100,20,10,3730,103.6805709,460,583.196
Hot-rolled,100,100,13.33333333,6.666666667,3730,99.14977752,460,450.9943125
Hot-rolled,100,100,10,5,3730,97.05849431,460,361.7561875
Hot-rolled,100,100,8,4,3730,95.8534747,460,299.8630625
Hot-rolled,100,100,6.666666667,3.333333333,3730,95.06965805,460,255.9860313
Hot-rolled,100,100,5,2.5,3730,94.11092701,460,189.6451094
Hot-rolled,100,100,3.555555556,1.777777778,3730,93.29823769,460,115.6406172
Hot-rolled,100,100,26.66666667,13.33333333,3950,115.1756722,460,592.2095625
Hot-rolled,100,100,20,10,3950,109.7957788,460,525.2288125
Hot-rolled,100,100,13.33333333,6.666666667,3950,104.9977537,460,407.405375
Hot-rolled,100,100,10,5,3950,102.783124,460,327.392375
Hot-rolled,100,100,8,4,3950,101.5070309,460,271.7290625
Hot-rolled,100,100,6.666666667,3.333333333,3950,100.6769837,460,230.6645625
Hot-rolled,100,100,5,2.5,3950,99.66170554,460,172.4726563
Hot-rolled,100,100,3.555555556,1.777777778,3950,98.80108281,460,107.1379297
Hot-rolled,100,100,26.66666667,13.33333333,4170,121.5905198,460,534.360875
Hot-rolled,100,100,20,10,4170,115.9109867,460,474.6903125
Hot-rolled,100,100,13.33333333,6.666666667,4170,110.8457298,460,368.887625
Hot-rolled,100,100,10,5,4170,108.5077537,460,296.7640938
Hot-rolled,100,100,8,4,4170,107.160587,460,246.514875
Hot-rolled,100,100,6.666666667,3.333333333,4170,106.2843094,460,209.5032188
Hot-rolled,100,100,5,2.5,4170,105.2124841,460,157.1322969
Hot-rolled,100,100,3.555555556,1.777777778,4170,104.3039279,460,99.17388281
Hot-rolled,100,100,26.66666667,13.33333333,4390,128.0053674,460,484.1868438
Hot-rolled,100,100,20,10,4390,122.0261947,460,430.5995625
Hot-rolled,100,100,13.33333333,6.666666667,4390,116.693706,460,335.107875
Hot-rolled,100,100,10,5,4390,114.2323834,460,269.778875
Hot-rolled,100,100,8,4,4390,112.8141431,460,224.2353281
Hot-rolled,100,100,6.666666667,3.333333333,4390,111.8916351,460,190.7346875
Hot-rolled,100,100,5,2.5,4390,110.7632626,460,143.5062813
Hot-rolled,100,100,3.555555556,1.777777778,4390,109.806773,460,91.80676563
Hot-rolled,100,100,26.66666667,13.33333333,4610,134.4202149,460,441.6565938
Hot-rolled,100,100,20,10,4610,128.1414026,460,391.916375
Hot-rolled,100,100,13.33333333,6.666666667,4610,122.5416821,460,305.4600313
Hot-rolled,100,100,10,5,4610,119.9570131,460,246.0862031
Hot-rolled,100,100,8,4,4610,118.4676993,460,204.6358906
Hot-rolled,100,100,6.666666667,3.333333333,4610,117.4989608,460,174.1668594
Hot-rolled,100,100,5,2.5,4610,116.3140412,460,131.18325
Hot-rolled,100,100,3.555555556,1.777777778,4610,115.3096182,460,85.03639844
Hot-rolled,100,100,26.66666667,13.33333333,4830,140.8350625,460,404.4071563
Hot-rolled,100,100,20,10,4830,134.2566105,460,357.8002188
Hot-rolled,100,100,13.33333333,6.666666667,4830,128.3896583,460,279.2728125
Hot-rolled,100,100,10,5,4830,125.6816428,460,225.1710625
Hot-rolled,100,100,8,4,4830,124.1212554,460,187.3378438
Hot-rolled,100,100,6.666666667,3.333333333,4830,123.1062864,460,159.5112813
Hot-rolled,100,100,5,2.5,4830,121.8648197,460,120.49375
Hot-rolled,100,100,3.555555556,1.777777778,4830,120.8124633,460,78.83325781
Hot-rolled,100,100,26.66666667,13.33333333,5050,147.2499101,460,371.5872188
Hot-rolled,100,100,20,10,5050,140.3718185,460,328.8664688
Hot-rolled,100,100,13.33333333,6.666666667,5050,134.2376344,460,256.0001563
Hot-rolled,100,100,10,5,5050,131.4062725,460,206.5791563
Hot-rolled,100,100,8,4,5050,129.7748116,460,171.971
Hot-rolled,100,100,6.666666667,3.333333333,5050,128.7136121,460,146.4926875
Hot-rolled,100,100,5,2.5,5050,127.4155982,460,111.0035
Hot-rolled,100,100,3.555555556,1.777777778,5050,126.3153084,460,73.17628125
Hot-rolled,100,100,26.66666667,13.33333333,5270,153.6647577,460,342.7317188
Hot-rolled,100,100,20,10,5270,146.4870264,460,304.3466875
Hot-rolled,100,100,13.33333333,6.666666667,5270,140.0856106,460,236.8421406
Hot-rolled,100,100,10,5,5270,137.1309021,460,190.8378438
Hot-rolled,100,100,8,4,5270,135.4283677,460,158.82425
Hot-rolled,100,100,6.666666667,3.333333333,5270,134.3209378,460,135.4345781
Hot-rolled,100,100,5,2.5,5270,132.9663768,460,102.6347813
Hot-rolled,100,100,3.555555556,1.777777778,5270,131.8181535,460,68.04350781
Hot-rolled,100,50,21,10.5,150,4.846353911,460,1534.6585
Hot-rolled,100,50,13.33333333,6.666666667,150,4.489854115,460,873.5960625
Hot-rolled,100,50,6.666666667,3.333333333,150,4.23843789,460,418.1347188
Hot-rolled,100,50,3.571428571,1.785714286,150,4.135276829,460,179.3958125
Hot-rolled,50,100,21,10.5,150,8.625229336,460,1540.0775
Hot-rolled,50,100,13.33333333,6.666666667,150,7.862551077,460,879.3910625
Hot-rolled,50,100,6.666666667,3.333333333,150,7.295852131,460,420.928
Hot-rolled,50,100,3.571428571,1.785714286,150,7.05878345,460,181.8212344
Hot-rolled,100,50,21,10.5,190,6.138714954,460,1480.69625
Hot-rolled,100,50,13.33333333,6.666666667,190,5.687148546,460,794.480875
Hot-rolled,100,50,6.666666667,3.333333333,190,5.368687994,460,412.5171563
Hot-rolled,100,50,3.571428571,1.785714286,190,5.238017316,460,180.8107969
Hot-rolled,50,100,21,10.5,100,5.750152891,460,1534.747875
Hot-rolled,50,100,13.33333333,6.666666667,100,5.241700718,460,887.655125
Hot-rolled,50,100,6.666666667,3.333333333,100,4.86390142,460,419.8467188
Hot-rolled,50,100,3.571428571,1.785714286,100,4.705855633,460,193.2673125
Hot-rolled,100,50,21,10.5,390,12.60052017,460,1107.756
Hot-rolled,100,50,13.33333333,6.666666667,390,11.6736207,460,780.0905
Hot-rolled,100,50,6.666666667,3.333333333,390,11.01993851,460,411.12725
Hot-rolled,100,50,3.571428571,1.785714286,390,10.75171975,460,175.088375
Hot-rolled,50,100,21,10.5,190,10.92529049,460,1110.831375
Hot-rolled,50,100,13.33333333,6.666666667,190,9.959231364,460,782.27875
Hot-rolled,50,100,6.666666667,3.333333333,190,9.241412699,460,412.7555938
Hot-rolled,50,100,3.571428571,1.785714286,190,8.941125703,460,179.9058438
Hot-rolled,100,50,21,10.5,580,18.73923512,460,1098.9965
Hot-rolled,100,50,13.33333333,6.666666667,580,17.36076925,460,774.443
Hot-rolled,100,50,6.666666667,3.333333333,580,16.38862651,460,409.8276563
Hot-rolled,100,50,3.571428571,1.785714286,580,15.98973707,460,174.8588281
Hot-rolled,50,100,21,10.5,290,16.67544338,460,1101.150625
Hot-rolled,50,100,13.33333333,6.666666667,290,15.20093208,460,776.9960625
Hot-rolled,50,100,6.666666667,3.333333333,290,14.10531412,460,414.061625
Hot-rolled,50,100,3.571428571,1.785714286,290,13.64698134,460,176.0656094
Hot-rolled,100,50,21,10.5,770,24.87795008,460,1088.117
Hot-rolled,100,50,13.33333333,6.666666667,770,23.04791779,460,767.4790625
Hot-rolled,100,50,6.666666667,3.333333333,770,21.7573145,460,406.6464688
Hot-rolled,100,50,3.571428571,1.785714286,770,21.22775439,460,174.1917969
Hot-rolled,50,100,21,10.5,390,22.42559627,460,1091.952
Hot-rolled,50,100,13.33333333,6.666666667,390,20.4426328,460,770.738
Hot-rolled,50,100,6.666666667,3.333333333,390,18.96921554,460,408.8300313
Hot-rolled,50,100,3.571428571,1.785714286,390,18.35283697,460,174.1011563
Hot-rolled,100,50,21,10.5,970,31.33975529,460,1073.46775
Hot-rolled,100,50,13.33333333,6.666666667,970,29.03438994,460,758.6911875
Hot-rolled,100,50,6.666666667,3.333333333,970,27.40856502,460,403.3886875
Hot-rolled,100,50,3.571428571,1.785714286,970,26.74145683,460,173.398
Hot-rolled,50,100,21,10.5,480,27.60073388,460,1082.020375
Hot-rolled,50,100,13.33333333,6.666666667,480,25.16016345,460,765.017375
Hot-rolled,50,100,6.666666667,3.333333333,480,23.34672682,460,408.9475938
Hot-rolled,50,100,3.571428571,1.785714286,480,22.58810704,460,175.5213281
Hot-rolled,100,50,21,10.5,1160,37.47847025,460,1054.888625
Hot-rolled,100,50,13.33333333,6.666666667,1160,34.72153849,460,748.027875
Hot-rolled,100,50,6.666666667,3.333333333,1160,32.77725302,460,398.3277813
Hot-rolled,100,50,3.571428571,1.785714286,1160,31.97947414,460,172.1565469
Hot-rolled,50,100,21,10.5,580,33.35088677,460,1068.389
Hot-rolled,50,100,13.33333333,6.666666667,580,30.40186416,460,757.142
Hot-rolled,50,100,6.666666667,3.333333333,580,28.21062824,460,401.1605625
Hot-rolled,50,100,3.571428571,1.785714286,580,27.29396267,460,170.8613281
Hot-rolled,100,50,21,10.5,1350,43.6171852,460,1029.605938
Hot-rolled,100,50,13.33333333,6.666666667,1350,40.40868704,460,734.2920625
Hot-rolled,100,50,6.666666667,3.333333333,1350,38.14594101,460,392.1993438
Hot-rolled,100,50,3.571428571,1.785714286,1350,37.21749146,460,171.2648125
Hot-rolled,50,100,21,10.5,680,39.10103966,460,1050.8995
Hot-rolled,50,100,13.33333333,6.666666667,680,35.64356488,460,747.316625
Hot-rolled,50,100,6.666666667,3.333333333,680,33.07452966,460,398.855625
Hot-rolled,50,100,3.571428571,1.785714286,680,31.99981831,460,169.953125
Hot-rolled,100,50,21,10.5,1550,50.07899042,460,992.2761875
Hot-rolled,100,50,13.33333333,6.666666667,1550,46.39515919,460,714.852375
Hot-rolled,100,50,6.666666667,3.333333333,1550,43.79719153,460,384.2539375
Hot-rolled,100,50,3.571428571,1.785714286,1550,42.7311939,460,169.7119688
Hot-rolled,50,100,21,10.5,770,44.27617726,460,1030.18375
Hot-rolled,50,100,13.33333333,6.666666667,770,40.36109553,460,736.711875
Hot-rolled,50,100,6.666666667,3.333333333,770,37.45204094,460,394.259125
Hot-rolled,50,100,3.571428571,1.785714286,770,36.23508838,460,171.6792188
Hot-rolled,100,50,21,10.5,1740,56.21770537,460,942.626625
Hot-rolled,100,50,13.33333333,6.666666667,1740,52.08230774,460,689.58225
