Forming,$H$,$B$,$r_o$,$t$,$L_{c}$,$L_{c}/r$,$F_y$,$N_u (kN)$
Hot-rolled,119.475,119.475,13.94,7.8175,4381,97.11195064,538.17,696.71
Hot-rolled,119.65,119.65,13.70125,7.83375,4381,96.92945596,538.17,727.9
Hot-rolled,119.85,119.85,13.90875,7.8575,4381,96.80685251,538.17,737.52
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,1578.43
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,1603.9
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,1634.31
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,1602.49
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,1681.33
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,1064.33
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,1043.66
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,1157.47
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,1109.15
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,1206.17
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,780.24
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,807.72
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,738.06
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,779.17
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,827.69
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2876,92.97490125,692.75,573.13
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2876,92.97490125,692.75,592.65
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2876,92.97490125,692.75,569.34
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2876,92.97490125,692.75,614.59
Hot-rolled,120.1333333,79.695,14.655,6.9375,3877,125.2489623,692.75,320.34
Hot-rolled,120.2833333,79.825,14.74375,6.9475,3878,125.0937772,692.75,328.79
Hot-rolled,120.2,79.57666667,14.6275,7.01875,3875,125.4687292,692.75,337.62
Hot-rolled,120.35,79.56666667,14.7525,6.96,3875,125.4010252,692.75,316.78
Hot-rolled,200,100,6,4,2110,49.81584677,354,819
Hot-rolled,200,100,6,4,3170,74.84181719,354,660
Hot-rolled,200,100,6,4,4230,99.86778761,354,444
Hot-rolled,250,150,7.5,5,3140,50.02143237,337,1209.877114
Hot-rolled,250,150,7.5,5,4710,75.03214856,337,1119.394851
Hot-rolled,250,150,7.5,5,6280,100.0428647,337,760.0510075
Hot-rolled,300,100,7.5,5,2170,49.94776827,342,1055.984391
Hot-rolled,300,100,7.5,5,3250,74.80656538,342,943.1711513
Hot-rolled,300,100,7.5,5,4350,100.1257106,342,714.9211091
Hot-rolled,200,200,5.7,3.8,4050,50.66605733,480,949.9565517
Hot-rolled,200,200,5.7,3.8,6000,75.06082568,480,860.898125
Hot-rolled,200,200,5.7,3.8,8000,100.0811009,480,561.2094509
Cold-formed,100.35,100.35,7,3.32,2939,74.66262433,469.8728544,310.4
Cold-formed,100.275,100.275,6,3.23,2939,74.55363915,468.948053,333.7
Cold-formed,100.175,100.175,6,3.23,2739,69.55227559,468.9548861,363.3
Cold-formed,100.15,100.15,7,3.18,2739,69.63464888,469.8740158,406.4
Cold-formed,120.6,120.6,14,6.17,2938,63.62903702,517.9492141,920.3
Cold-formed,120.6,120.6,14,6.22,2939,63.67548018,517.9109041,876
Cold-formed,120.375,120.375,16,6,2640,57.38112085,518.1953062,1080.9
Cold-formed,120.475,120.475,16,6.08,2639,57.34408283,518.3315551,939.2
Cold-formed,151.125,151.125,10,5.32,2939,49.65147619,489.362657,1397.9
Cold-formed,151.05,151.05,10,5.4,2939,49.70201544,489.3597235,1247.7
Cold-formed,150.925,150.925,11,5.22,2540,42.98369023,489.9119634,1452.6
Cold-formed,151.025,151.025,11,5.28,2539,42.95317684,489.9005772,1461.5
Cold-formed,150.875,150.875,11,5.23,2040,34.53642615,489.9128647,1415.1
Cold-formed,150.975,150.975,11,5.25,2039,34.49995357,489.9062843,1453.9
Cold-formed,150.775,150.775,22,8.22,2938,51.33061434,519.5701403,1748
Cold-formed,150.875,150.875,22,8.05,2940,51.27470867,519.3606768,1903.3
Cold-formed,150.45,150.45,22,8.15,2540,44.46111459,519.4838771,1940
Cold-formed,150.575,150.575,21,8.17,2539,44.35380449,520.0758505,2022.6
Cold-formed,80.275,80.275,13,5.15,2639,87.65828288,608.2640875,477.6
Cold-formed,80.2,80.2,13,5.23,2639,87.82971826,608.0709459,461.8
Cold-formed,80.15,80.15,12,5.23,2239,74.38494868,607.7278162,691.2
Cold-formed,80.225,80.225,12,5.3,2239,74.36986773,607.5786127,650
Cold-formed,80.175,80.175,12,5.18,1240,41.1577458,607.8401666,879.1
Cold-formed,80.2,80.2,11,5.23,1240,41.07147111,607.3964502,871.2
Cold-formed,120.225,120.225,9,3.97,2939,62.36194911,567.5825761,784.6
Cold-formed,120.3,120.3,8,4.2,2939,62.35971454,566.9556954,865
Cold-formed,120.575,120.575,9,4.3,2240,47.50867442,567.4091837,935.2
Cold-formed,120.375,120.375,9,4.3,2241,47.61237056,567.4146027,867.3
Cold-formed,120.325,120.325,13,6,2946,63.78422722,641.3219205,1168
Cold-formed,120.375,120.375,13,6.05,2946,63.78091564,641.3903404,1422
Cold-formed,120.425,120.425,13,6.05,2946,63.75271215,641.3824424,1281
Cold-formed,140.875,140.875,22,7.83,2640,49.51319896,621.0375189,1974
Cold-formed,140.975,140.975,22,7.83,1940,36.35675211,621.040321,2435
Cold-formed,151.4,151.4,20,7.85,2940,50.89495035,772.2632532,2606
Cold-formed,151.375,151.375,20,7.75,2940,50.87245177,772.0797409,2562
Cold-formed,151.375,151.375,20,7.89,2140,37.06172597,752.5643864,3106
Cold-formed,151.325,151.325,20,7.88,2140,37.07256677,752.5761119,2852
Cold-formed,120.875,120.875,14,5.98,2940,63.42400825,743.6473769,992
Cold-formed,120.825,120.825,14,5.93,2940,63.42734138,743.7242256,1015
Cold-formed,120.325,120.325,14,5.95,2938,63.67493288,1095.875363,1686
Cold-formed,120.225,120.225,14,6.05,2940,63.82462104,1095.949877,1554
Cold-formed,152.075,152.075,16,6.9,2940,50.12912768,1148.184951,3278
Cold-formed,152,152,16,6.85,2940,50.13983961,1148.077531,2876
Cold-formed,152.525,152.525,16,6.9,1840,31.27524638,1148.075258,4237
Cold-formed,152.275,152.275,16,6.85,1840,31.31999474,1148.010606,4506
Cold-formed,80.1,80.4,9.5,3.92,395,12.85157899,845.094191,976
Cold-formed,120.9,120.9,8,3.92,485,10.21516694,740.484778,1211
Cold-formed,141.1,140.8,13,5.9,485,8.867213189,722.0481956,2434
Cold-formed,80.2,80.4,10,3.95,395,12.85527621,1075.911202,1252
Cold-formed,100.2,50.5,8.5,3.94,395,11.28188846,773.8950344,903
Cold-formed,50.5,100.2,8.5,3.94,395,19.29132853,773.8950344,879
Cold-formed,120.6,200.3,13,4.93,665,13.33485107,775.3399421,1701
Cold-formed,200.4,120.4,13,4.95,665,9.038287667,775.4358053,1745
Cold-formed,121.3,121.1,9.5,3.93,485,10.20144024,997.2129696,1439
Cold-formed,100.2,50.3,8.5,3.98,1655,47.21733503,775.546532,642.3
Cold-formed,50.6,100.2,8.5,3.97,1655,80.73002896,775.3647477,306.9
Cold-formed,80.3,80.1,9.5,3.94,1655,53.76558412,845.2660959,581.9
Cold-formed,100.1,100.1,5.88,2.94,1382,35.01920533,536.5894752,520
Cold-formed,100.1,100.1,5.86,2.93,1383,35.04028595,536.5756684,519
Cold-formed,100.1,100.1,5.88,2.94,1383,35.04454485,536.5894752,515
Cold-formed,100.2,100.2,5.86,2.93,2766,70.00814343,536.5710372,294
Cold-formed,100.1,100.1,5.88,2.94,2766,70.08908969,536.5894752,306
Cold-formed,100.2,100.2,5.86,2.93,2766,70.00814343,536.5710372,283
Cold-formed,100.05,100.05,5.88,2.94,4150,105.2134062,536.5917918,172
Cold-formed,100.1,100.1,5.86,2.93,4150,105.1461943,536.5756684,195
Cold-formed,100.1,100.1,5.88,2.94,4149,105.1336345,536.5894752,171
Cold-formed,150.25,150.25,9.88,4.94,2066,35.02733737,527.9834933,1372
Cold-formed,150.25,150.25,9.88,4.94,2066,35.02733737,527.9834933,1379
Cold-formed,150.25,150.25,9.88,4.94,2066,35.02733737,527.9834933,1370
Cold-formed,150.25,150.25,9.88,4.94,4134,70.0885831,527.9834933,790
Cold-formed,150.25,150.25,9.88,4.94,4134,70.0885831,527.9834933,823
Cold-formed,150.25,150.25,9.88,4.94,4134,70.0885831,527.9834933,797
Cold-formed,150.25,150.25,9.88,4.94,6201,105.1328747,527.9834933,435
Cold-formed,150.25,150.25,9.88,4.94,6201,105.1328747,527.9834933,459
Cold-formed,150.25,150.25,9.88,4.94,6201,105.1328747,527.9834933,458
Cold-formed,200.1,200.1,11.88,5.94,2767,35.08816281,504.9982945,2156
Cold-formed,200.1,200.1,11.86,5.93,2767,35.08602838,504.9909742,2185
Cold-formed,200.1,200.1,11.82,5.91,2767,35.08176045,504.9762835,2118
Cold-formed,200.1,200.1,11.82,5.91,3949,50.06789736,504.9762835,1837
Cold-formed,200.25,200.25,11.88,5.94,3949,50.03816936,504.9942344,1808
Cold-formed,200.1,200.1,11.88,5.94,3949,50.07703468,504.9982945,1804
Cold-formed,200.1,200.1,11.86,5.93,6249,79.2383778,504.9909742,1106
Cold-formed,200.1,200.1,11.88,5.94,6250,79.25587914,504.9982945,1084
Cold-formed,200.1,200.1,11.82,5.91,6250,79.2414177,504.9762835,1077
Cold-formed,300.1,300.1,17.2,8.6,3948,33.34008293,470.48823,4310
Cold-formed,300.1,300.1,17.16,8.58,3948,33.33738302,470.4765291,4356
Cold-formed,190,160,9,4,4000,61.72446386,384.1925942,630
Cold-formed,190,160,9,4,5200,80.24180301,384.1925942,583.5
Cold-formed,100.58,100.58,8.17,3.84,2160,55.11747551,519.4242567,496.23
Cold-formed,100.59,100.59,8.14,3.82,2160,55.09860232,519.4133673,494.26
Cold-formed,100.61,100.61,8.15,3.81,2159,55.0582484,519.4180107,466.72
Cold-formed,100.64,100.64,8.16,3.86,3500,89.26795315,519.4142439,258.06
Cold-formed,100.64,100.64,8.16,3.83,3500,89.24531682,519.4182736,288.07
Cold-formed,100.58,100.58,8.17,3.84,3498,89.25968951,519.4242567,283.77
Cold-formed,100.59,100.59,8.14,3.83,4251,108.4462754,519.4120661,196.98
Cold-formed,100.59,100.59,8.15,3.83,4254,108.5253119,519.4164096,204.3
Cold-formed,100.61,100.61,8.14,3.78,4259,108.5819296,519.4173823,199.17
