Forming,$H$,$B$,$r_o$,$t$,$L_{c}$,$L_{c}/r$,$F_y$,$A_{e}$,$I$,$L_{c}/r$,$N_u (kN)$
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2873,90.73176817,464.8975,1956.736027,1961935.585,90.73176817,503.25
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2873,90.73176817,464.8975,1956.736027,1961935.585,90.73176817,506
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2873,90.73176817,464.8975,1956.736027,1961935.585,90.73176817,521.4
Hot-rolled,119.8333333,79.79666667,11.74875,5.56125,3871,122.4490208,464.8975,1999.646203,1998429.687,122.4490208,289.2
Hot-rolled,120.2833333,79.83,11.99625,5.40625,3872,122.2041906,464.8975,1944.742031,1952362.691,122.2041906,287.63
Hot-rolled,119.8833333,79.88166667,11.70625,5.4225,3873,122.1802774,464.8975,1952.664626,1962096.843,122.1802774,295.48
Hot-rolled,119.4,119.4,13.85,7.90625,2283,50.66617257,538.17,3382.788184,6868318.591,50.66617257,1652.47
Hot-rolled,119.4416667,119.4416667,13.83,7.69125,2282,50.54226567,538.17,3295.275124,6717590.834,50.54226567,1649.45
Hot-rolled,119.6166667,119.6166667,14.055,7.64125,2282,50.4641544,538.17,3274.41641,6695749.346,50.4641544,1702.62
Hot-rolled,119.3583333,119.3583333,13.78125,7.68,2282,50.57177162,538.17,3289.187413,6697358.763,50.57177162,1629.64
Hot-rolled,119.0666667,119.0666667,13.97875,7.8175,2982,66.3505859,538.17,3332.48415,6731220.95,66.3505859,1314.15
Hot-rolled,119.6,119.6,13.9275,7.8475,2981,66.01725359,538.17,3362.861374,6856745.193,66.01725359,1356.33
Hot-rolled,119.6083333,119.6083333,14.11,7.915,2980,66.04448365,538.17,3386.768996,6895170.43,66.04448365,1363.59
Hot-rolled,119.4166667,119.4166667,13.8825,7.7275,2982,66.08488245,538.17,3308.336794,6736289.599,66.08488245,1335.53
Hot-rolled,119.3583333,119.3583333,13.96875,7.76625,3682,81.67686043,538.17,3320.570681,6748111.13,81.67686043,1016.12
Hot-rolled,119.7,119.7,14.05375,7.89625,3682,81.51555762,538.17,3383.239404,6902704.647,81.51555762,1017.1
Hot-rolled,119.4833333,119.4833333,13.8925,7.79,3681,81.5656579,538.17,3336.150497,6794579.455,81.5656579,928.81
Hot-rolled,119.5833333,119.5833333,13.765,7.79375,3680,81.45375922,538.17,3343.853519,6825282.268,81.45375922,1016.9
Hot-rolled,119.5083333,119.5083333,13.865,7.76375,3680,81.50522266,538.17,3326.669514,6781635.121,81.50522266,928.03
Hot-rolled,119.5416667,119.5416667,14.00375,7.895,3682,81.62439709,538.17,3378.923932,6875527.293,81.62439709,1120.69
Hot-rolled,119.7833333,119.7833333,13.92125,7.89,4381,96.89058277,538.17,3386.453408,6923544.295,96.89058277,746.15
Hot-rolled,119.475,119.475,13.94,7.8175,4381,97.11195064,538.17,3346.181403,6810055.201,97.11195064,696.71
Hot-rolled,119.65,119.65,13.70125,7.83375,4381,96.92945596,538.17,3364.078501,6872283.666,96.92945596,727.9
Hot-rolled,119.85,119.85,13.90875,7.8575,4381,96.80685251,538.17,3375.322702,6912730.195,96.80685251,737.52
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,2435.389328,2330315.429,47.71590899,1578.43
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,2435.389328,2330315.429,47.71590899,1603.9
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,2435.389328,2330315.429,47.71590899,1634.31
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,2435.389328,2330315.429,47.71590899,1602.49
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,2435.389328,2330315.429,47.71590899,1681.33
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,2435.389328,2330315.429,63.87983479,1064.33
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,2435.389328,2330315.429,63.87983479,1043.66
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,2435.389328,2330315.429,63.87983479,1157.47
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,2435.389328,2330315.429,63.87983479,1109.15
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,2435.389328,2330315.429,63.87983479,1206.17
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,2435.389328,2330315.429,80.0437606,780.24
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,2435.389328,2330315.429,80.0437606,807.72
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,2435.389328,2330315.429,80.0437606,738.06
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,2435.389328,2330315.429,80.0437606,779.17
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,2435.389328,2330315.429,80.0437606,827.69
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2876,92.97490125,692.75,2435.389328,2330315.429,92.97490125,573.13
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2876,92.97490125,692.75,2435.389328,2330315.429,92.97490125,592.65
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2876,92.97490125,692.75,2435.389328,2330315.429,92.97490125,569.34
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2876,92.97490125,692.75,2435.389328,2330315.429,92.97490125,614.59
Hot-rolled,120.1333333,79.695,14.655,6.9375,3877,125.2489623,692.75,2421.710013,2320413.946,125.2489623,320.34
Hot-rolled,120.2833333,79.825,14.74375,6.9475,3878,125.0937772,692.75,2426.802076,2332268.545,125.0937772,328.79
Hot-rolled,120.2,79.57666667,14.6275,7.01875,3875,125.4687292,692.75,2449.612314,2336521.445,125.4687292,337.62
