Forming,$H$,$B$,$r_o$,$t$,$L_{c}$,$L_{c}/r$,$F_y$,$A_{e}$,$I$,$L_{c}/r$,$N_u (kN)$,Author,Title
Hot-rolled,99.69,99.28,11,5.19,858.3,22.49821768,511,1882.673395,2740040.497,22.49821768,878,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,99.82,99.28,11,5.31,1759,46.10462656,511,1925.582193,2802881.408,46.10462656,798,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,99.37,99.82,10.23,5.23,2949,77.39999091,511,1905.741165,2766506.156,77.39999091,557,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,50.47,50.44,7.01,4.99,426,23.14880139,759,868.8018225,294227.2575,23.14880139,690,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,50.47,50.47,7,4.76,668.5,36.1672362,759,832.5635847,284439.2925,36.1672362,637,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,50.45,50.43,7,4.82,905.5,49.06856694,759,841.5711351,286589.973,49.06856694,562,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,50.67,50.51,7,4.79,1220,65.78307791,759,839.6585873,288797.89,65.78307791,391,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,50.4,50.4,7,4.79,1529,82.8961086,759,836.0181873,284421.4908,82.8961086,248,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,50.6,50.4,7,4.95,1700,92.08925578,759,863.4354969,294245.4903,92.08925578,201,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,50.53,50.48,7,4.93,1860,100.8287596,759,860.3552297,292775.5745,100.8287596,166,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,50.6,50.52,7,4.84,2150,116.1867562,759,847.0822253,290060.9298,116.1867562,119,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,100.43,100.53,11,5.67,858,22.39725902,782,2070.80992,3038960.585,22.39725902,1571,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,100.5,100.52,10.5,5.72,1760,45.89831932,782,2093.769024,3078651.571,45.89831932,1420,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,100.7,100.59,12,5.78,2950,77.01692547,782,2102.878549,3085218.08,77.01692547,680,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,119.8333333,79.78666667,11.6175,5.41125,150,4.736362137,464.8975,1948.865059,1954674.674,4.736362137,1090,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,1473,46.51858494,464.8975,1956.736027,1961935.585,46.51858494,986.2,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,1473,46.51858494,464.8975,1956.736027,1961935.585,46.51858494,958.14,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,1473,46.51858494,464.8975,1956.736027,1961935.585,46.51858494,964.62,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,1973,62.30900752,464.8975,1956.736027,1961935.585,62.30900752,858.08,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,1973,62.30900752,464.8975,1956.736027,1961935.585,62.30900752,815.11,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,1973,62.30900752,464.8975,1956.736027,1961935.585,62.30900752,858.28,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2473,78.09943011,464.8975,1956.736027,1961935.585,78.09943011,626.47,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2473,78.09943011,464.8975,1956.736027,1961935.585,78.09943011,636.18,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2473,78.09943011,464.8975,1956.736027,1961935.585,78.09943011,682.48,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2473,78.09943011,464.8975,1956.736027,1961935.585,78.09943011,670.02,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2873,90.73176817,464.8975,1956.736027,1961935.585,90.73176817,503.25,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2873,90.73176817,464.8975,1956.736027,1961935.585,90.73176817,506,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2873,90.73176817,464.8975,1956.736027,1961935.585,90.73176817,521.4,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.8333333,79.79666667,11.74875,5.56125,3871,122.4490208,464.8975,1999.646203,1998429.687,122.4490208,289.2,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2833333,79.83,11.99625,5.40625,3872,122.2041906,464.8975,1944.742031,1952362.691,122.2041906,287.63,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.8833333,79.88166667,11.70625,5.4225,3873,122.1802774,464.8975,1952.664626,1962096.843,122.1802774,295.48,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.4,119.4,13.85,7.90625,2283,50.66617257,538.17,3382.788184,6868318.591,50.66617257,1652.47,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.4416667,119.4416667,13.83,7.69125,2282,50.54226567,538.17,3295.275124,6717590.834,50.54226567,1649.45,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.6166667,119.6166667,14.055,7.64125,2282,50.4641544,538.17,3274.41641,6695749.346,50.4641544,1702.62,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.3583333,119.3583333,13.78125,7.68,2282,50.57177162,538.17,3289.187413,6697358.763,50.57177162,1629.64,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.0666667,119.0666667,13.97875,7.8175,2982,66.3505859,538.17,3332.48415,6731220.95,66.3505859,1314.15,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.6,119.6,13.9275,7.8475,2981,66.01725359,538.17,3362.861374,6856745.193,66.01725359,1356.33,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.6083333,119.6083333,14.11,7.915,2980,66.04448365,538.17,3386.768996,6895170.43,66.04448365,1363.59,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.4166667,119.4166667,13.8825,7.7275,2982,66.08488245,538.17,3308.336794,6736289.599,66.08488245,1335.53,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.3583333,119.3583333,13.96875,7.76625,3682,81.67686043,538.17,3320.570681,6748111.13,81.67686043,1016.12,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.7,119.7,14.05375,7.89625,3682,81.51555762,538.17,3383.239404,6902704.647,81.51555762,1017.1,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.4833333,119.4833333,13.8925,7.79,3681,81.5656579,538.17,3336.150497,6794579.455,81.5656579,928.81,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.5833333,119.5833333,13.765,7.79375,3680,81.45375922,538.17,3343.853519,6825282.268,81.45375922,1016.9,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.5083333,119.5083333,13.865,7.76375,3680,81.50522266,538.17,3326.669514,6781635.121,81.50522266,928.03,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.5416667,119.5416667,14.00375,7.895,3682,81.62439709,538.17,3378.923932,6875527.293,81.62439709,1120.69,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.7833333,119.7833333,13.92125,7.89,4381,96.89058277,538.17,3386.453408,6923544.295,96.89058277,746.15,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.475,119.475,13.94,7.8175,4381,97.11195064,538.17,3346.181403,6810055.201,97.11195064,696.71,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
