Forming,$H$,$B$,$r_o$,$t$,$L_{c}$,$L_{c}/r$,$F_y$,$A_{e}$,$I$,$L_{c}/r$,$N_u (kN)$,Author,Title
Hot-rolled,100,100,3.555555556,1.777777778,6000,150.0775941,355,476.8465163,1103386.414,150.0775941,53.83336719,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,150,4.846353911,355,2425.08177,2323157.496,4.846353911,1454.17275,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,150,4.489854115,355,1707.767909,1906105.377,4.489854115,742.3211875,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,150,4.23843789,355,926.9419773,1160976.479,4.23843789,325.0222813,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,150,4.135276829,355,412.4406758,677278.8067,4.135276829,147.5794531,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,150,8.625229336,355,2425.08177,733445.0845,8.625229336,1425.37825,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,150,7.862551077,355,1707.767909,621561.9308,7.862551077,745.269375,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,150,7.295852131,355,926.9419773,391816.7712,7.295852131,326.4413438,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,150,7.05878345,355,412.5672746,232443.2528,7.05878345,149.2382969,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,250,8.077256519,355,2425.08177,2323157.496,8.077256519,858.5091875,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,250,7.483090192,355,1707.767909,1906105.377,7.483090192,604.6484375,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,250,7.06406315,355,926.9419773,1160976.479,7.06406315,322.283125,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,250,6.892128048,355,412.4406758,677278.8067,6.892128048,145.5189844,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,125,7.187691114,355,2425.08177,733445.0845,7.187691114,1425.20275,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,125,6.552125897,355,1707.767909,621561.9308,6.552125897,761.874,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,125,6.079876775,355,926.9419773,391816.7712,6.079876775,325.7664375,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,125,5.882319542,355,412.5672746,232443.2528,5.882319542,158.9478281,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,500,16.15451304,355,2425.08177,2323157.496,16.15451304,850.7674375,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,500,14.96618038,355,1707.767909,1906105.377,14.96618038,599.1876875,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,500,14.1281263,355,926.9419773,1160976.479,14.1281263,318.765625,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,500,13.7842561,355,412.4406758,677278.8067,13.7842561,142.7353125,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,250,14.37538223,355,2425.08177,733445.0845,14.37538223,852.003875,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,250,13.10425179,355,1707.767909,621561.9308,13.10425179,599.7419375,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,250,12.15975355,355,926.9419773,391816.7712,12.15975355,320.5844063,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,250,11.76463908,355,412.5672746,232443.2528,11.76463908,144.0513281,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,750,24.23176956,355,2425.08177,2323157.496,24.23176956,841.4645625,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,750,22.44927058,355,1707.767909,1906105.377,22.44927058,593.30125,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,750,21.19218945,355,926.9419773,1160976.479,21.19218945,316.5039063,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,750,20.67638414,355,412.4406758,677278.8067,20.67638414,142.5967344,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,375,21.56307334,355,2425.08177,733445.0845,21.56307334,844.044125,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,375,19.65637769,355,1707.767909,621561.9308,19.65637769,595.3115,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,375,18.23963033,355,926.9419773,391816.7712,18.23963033,317.998875,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,375,17.64695863,355,412.5672746,232443.2528,17.64695863,142.4695,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,1000,32.30902607,355,2425.08177,2323157.496,32.30902607,829.425,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,1000,29.93236077,355,1707.767909,1906105.377,29.93236077,585.9285,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,1000,28.2562526,355,926.9419773,1160976.479,28.2562526,313.0094375,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,1000,27.56851219,355,412.4406758,677278.8067,27.56851219,142.270625,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,500,28.75076445,355,2425.08177,733445.0845,28.75076445,834.552625,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,500,26.20850359,355,1707.767909,621561.9308,26.20850359,589.6834375,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,500,24.3195071,355,926.9419773,391816.7712,24.3195071,315.9591563,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,500,23.52927817,355,412.5672746,232443.2528,23.52927817,141.8814531,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,1250,40.38628259,355,2425.08177,2323157.496,40.38628259,813.0235,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,1250,37.41545096,355,1707.767909,1906105.377,37.41545096,576.3116875,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,1250,35.32031575,355,926.9419773,1160976.479,35.32031575,308.3804375,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,1250,34.46064024,355,412.4406758,677278.8067,34.46064024,141.1605313,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,625,35.93845557,355,2425.08177,733445.0845,35.93845557,822.7776875,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,625,32.76062949,355,1707.767909,621561.9308,32.76062949,582.9049375,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,625,30.39938388,355,926.9419773,391816.7712,30.39938388,312.6960313,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,625,29.41159771,355,412.5672746,232443.2528,29.41159771,139.9793906,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,1500,48.46353911,355,2425.08177,2323157.496,48.46353911,790.101875,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,1500,44.89854115,355,1707.767909,1906105.377,44.89854115,563.7846875,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,1500,42.3843789,355,926.9419773,1160976.479,42.3843789,303.063875,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,1500,41.35276829,355,412.4406758,677278.8067,41.35276829,126.6578906,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,750,43.12614668,355,2425.08177,733445.0845,43.12614668,807.496125,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,750,39.31275538,355,1707.767909,621561.9308,39.31275538,574.512125,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,750,36.47926065,355,926.9419773,391816.7712,36.47926065,309.3687188,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,750,35.29391725,355,412.5672746,232443.2528,35.29391725,139.9170625,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,1750,56.54079563,355,2425.08177,2323157.496,56.54079563,757.3085,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,1750,52.38163134,355,1707.767909,1906105.377,52.38163134,546.4195,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,1750,49.44844205,355,926.9419773,1160976.479,49.44844205,295.7069375,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,1750,48.24489634,355,412.4406758,677278.8067,48.24489634,138.4872188,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,875,50.3138378,355,2425.08177,733445.0845,50.3138378,786.8648125,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,875,45.86488128,355,1707.767909,621561.9308,45.86488128,563.6911875,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,875,42.55913743,355,926.9419773,391816.7712,42.55913743,303.83125,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,875,41.17623679,355,412.5672746,232443.2528,41.17623679,138.637375,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,2000,64.61805215,355,2425.08177,2323157.496,64.61805215,710.9601875,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,2000,59.86472153,355,1707.767909,1906105.377,59.86472153,522.3254688,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,2000,56.5125052,355,926.9419773,1160976.479,56.5125052,285.8609375,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,2000,55.13702438,355,412.4406758,677278.8067,55.13702438,136.0055781,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,1000,57.50152891,355,2425.08177,733445.0845,57.50152891,758.115875,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,1000,52.41700718,355,1707.767909,621561.9308,52.41700718,549.3963125,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,1000,48.6390142,355,926.9419773,391816.7712,48.6390142,297.3895,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,1000,47.05855633,355,412.5672746,232443.2528,47.05855633,133.2708281,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,2250,72.69530867,355,2425.08177,2323157.496,72.69530867,650.1616875,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,2250,67.34781173,355,1707.767909,1906105.377,67.34781173,489.5967188,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,2250,63.57656835,355,926.9419773,1160976.479,63.57656835,272.5929688,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,2250,62.02915243,355,412.4406758,677278.8067,62.02915243,132.669875,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,1125,64.68922002,355,2425.08177,733445.0845,64.68922002,717.781875,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,1125,58.96913308,355,1707.767909,621561.9308,58.96913308,530.1318125,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,1125,54.71889098,355,926.9419773,391816.7712,54.71889098,289.0963438,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,1125,52.94087588,355,412.5672746,232443.2528,52.94087588,129.4949922,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,2500,80.77256519,355,2425.08177,2323157.496,80.77256519,580.3540625,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,2500,74.83090192,355,1707.767909,1906105.377,74.83090192,448.6565625,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,2500,70.6406315,355,926.9419773,1160976.479,70.6406315,255.0512344,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,2500,68.92128048,355,412.4406758,677278.8067,68.92128048,128.1361094,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,1250,71.87691114,355,2425.08177,733445.0845,71.87691114,664.436625,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,1250,65.52125897,355,1707.767909,621561.9308,65.52125897,504.267125,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,1250,60.79876775,355,926.9419773,391816.7712,60.79876775,278.2312813,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,1250,58.82319542,355,412.5672746,232443.2528,58.82319542,124.6550391,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,2750,88.8498217,355,2425.08177,2323157.496,88.8498217,503.6305313,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,2750,82.31399211,355,1707.767909,1906105.377,82.31399211,403.160875,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,2750,77.70469465,355,926.9419773,1160976.479,77.70469465,233.8511875,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,2750,75.81340853,355,412.4406758,677278.8067,75.81340853,121.9758906,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,1375,79.06460225,355,2425.08177,733445.0845,79.06460225,601.446,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,1375,72.07338487,355,1707.767909,621561.9308,72.07338487,470.9643438,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,1375,66.87864453,355,926.9419773,391816.7712,66.87864453,264.4050313,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,1375,64.70551496,355,412.5672746,232443.2528,64.70551496,119.5170234,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,3000,96.92707822,355,2425.08177,2323157.496,96.92707822,444.26975,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,3000,89.7970823,355,1707.767909,1906105.377,89.7970823,353.2601563,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,3000,84.7687578,355,926.9419773,1160976.479,84.7687578,210.9333594,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,3000,82.70553657,355,412.4406758,677278.8067,82.70553657,114.0088281,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,1500,86.25229336,355,2425.08177,733445.0845,86.25229336,536.6233125,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,1500,78.62551077,355,1707.767909,621561.9308,78.62551077,431.7985313,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,1500,72.95852131,355,926.9419773,391816.7712,72.95852131,247.7060156,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,1500,70.5878345,355,412.5672746,232443.2528,70.5878345,113.3144922,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,3250,105.0043347,355,2425.08177,2323157.496,105.0043347,390.2391563,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,3250,97.28017249,355,1707.767909,1906105.377,97.28017249,315.00375,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,3250,91.83282095,355,926.9419773,1160976.479,91.83282095,186.3521563,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,3250,89.59766462,355,412.4406758,677278.8067,89.59766462,104.4075078,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,1625,93.43998448,355,2425.08177,733445.0845,93.43998448,475.831125,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,1625,85.17763667,355,1707.767909,621561.9308,85.17763667,390.4511875,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,1625,79.03839808,355,926.9419773,391816.7712,79.03839808,228.8480313,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,1625,76.47015404,355,412.5672746,232443.2528,76.47015404,106.4922891,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,3500,113.0815913,355,2425.08177,2323157.496,113.0815913,343.2753125,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,3500,104.7632627,355,1707.767909,1906105.377,104.7632627,279.7052813,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,3500,98.8968841,355,926.9419773,1160976.479,98.8968841,167.3622813,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,3500,96.48979267,355,412.4406758,677278.8067,96.48979267,92.89554688,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,1750,100.6276756,355,2425.08177,733445.0845,100.6276756,421.418,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,1750,91.72976256,355,1707.767909,621561.9308,91.72976256,350.4603125,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,1750,85.11827486,355,926.9419773,391816.7712,85.11827486,207.4830313,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,1750,82.35247358,355,412.5672746,232443.2528,82.35247358,99.273875,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,3750,121.1588478,355,2425.08177,2323157.496,121.1588478,303.30975,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,3750,112.2463529,355,1707.767909,1906105.377,112.2463529,248.4279219,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,3750,105.9609472,355,926.9419773,1160976.479,105.9609472,149.6998438,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,3750,103.3819207,355,412.4406758,677278.8067,103.3819207,84.74138281,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,1875,107.8153667,355,2425.08177,733445.0845,107.8153667,373.7372813,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,1875,98.28188846,355,1707.767909,621561.9308,98.28188846,313.1104375,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,1875,91.19815163,355,926.9419773,391816.7712,91.19815163,189.600625,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,1875,88.23479313,355,412.5672746,232443.2528,88.23479313,92.07996094,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,4000,129.2361043,355,2425.08177,2323157.496,129.2361043,269.4634688,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,4000,119.7294431,355,1707.767909,1906105.377,119.7294431,221.3770781,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,4000,113.0250104,355,926.9419773,1160976.479,113.0250104,133.928,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,4000,110.2740488,355,412.4406758,677278.8067,110.2740488,76.67566406,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,2000,115.0030578,355,2425.08177,733445.0845,115.0030578,333.0019063,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,2000,104.8340144,355,1707.767909,621561.9308,104.8340144,279.8222813,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,2000,97.27802841,355,926.9419773,391816.7712,97.27802841,171.413,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,2000,94.11711267,355,412.5672746,232443.2528,94.11711267,84.08999219,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,4250,137.3133608,355,2425.08177,2323157.496,137.3133608,240.6702813,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,4250,127.2125333,355,1707.767909,1906105.377,127.2125333,198.203375,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,4250,120.0890735,355,926.9419773,1160976.479,120.0890735,120.155375,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,4250,117.1661768,355,412.4406758,677278.8067,117.1661768,69.21502344,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,2125,122.1907489,355,2425.08177,733445.0845,122.1907489,298.3674063,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,2125,111.3861403,355,1707.767909,621561.9308,111.3861403,251.1892031,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,2125,103.3579052,355,926.9419773,391816.7712,103.3579052,154.7739531,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,2125,99.99943221,355,412.5672746,232443.2528,99.99943221,77.71589063,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,4500,145.3906173,355,2425.08177,2323157.496,145.3906173,215.9832188,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,4500,134.6956235,355,1707.767909,1906105.377,134.6956235,178.3064219,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,4500,127.1531367,355,926.9419773,1160976.479,127.1531367,108.2532109,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,4500,124.0583049,355,412.4406758,677278.8067,124.0583049,62.55256641,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,2250,129.37844,355,2425.08177,733445.0845,129.37844,268.725125,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,2250,117.9382662,355,1707.767909,621561.9308,117.9382662,226.6144219,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,2250,109.437782,355,926.9419773,391816.7712,109.437782,140.0160625,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,2250,105.8817518,355,412.5672746,232443.2528,105.8817518,71.66169531,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,4750,153.4678739,355,2425.08177,2323157.496,153.4678739,194.6555,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,4750,142.1787136,355,1707.767909,1906105.377,142.1787136,161.1211406,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,4750,134.2171998,355,926.9419773,1160976.479,134.2171998,97.97420313,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,4750,130.9504329,355,412.4406758,677278.8067,130.9504329,56.71192969,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,2375,136.5661312,355,2425.08177,733445.0845,136.5661312,243.1765156,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,2375,124.4903921,355,1707.767909,621561.9308,124.4903921,205.3945469,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,2375,115.5176587,355,926.9419773,391816.7712,115.5176587,127.1267969,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,2375,111.7640713,355,412.5672746,232443.2528,111.7640713,66.03838281,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,5000,161.5451304,355,2425.08177,2323157.496,161.5451304,176.082,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,5000,149.6618038,355,1707.767909,1906105.377,149.6618038,146.1562031,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,5000,141.281263,355,926.9419773,1160976.479,141.281263,89.04410938,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,5000,137.842561,355,412.4406758,677278.8067,137.842561,51.59926172,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,2500,143.7538223,355,2425.08177,733445.0845,143.7538223,221.0127813,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,2500,131.0425179,355,1707.767909,621561.9308,131.0425179,186.9632344,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,2500,121.5975355,355,926.9419773,391816.7712,121.5975355,115.8850313,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,2500,117.6463908,355,412.5672746,232443.2528,117.6463908,60.89108984,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,5250,169.6223869,355,2425.08177,2323157.496,169.6223869,159.8102969,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,5250,157.144894,355,1707.767909,1906105.377,157.144894,133.0178906,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,5250,148.3453261,355,926.9419773,1160976.479,148.3453261,81.21585938,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,5250,144.734689,355,412.4406758,677278.8067,144.734689,47.11442578,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,2625,150.9415134,355,2425.08177,733445.0845,150.9415134,201.6738281,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,2625,137.5946438,355,1707.767909,621561.9308,137.5946438,170.8589688,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,2625,127.6774123,355,926.9419773,391816.7712,127.6774123,106.0420391,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,2625,123.5287104,355,412.5672746,232443.2528,123.5287104,56.18192188,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,5500,177.6996434,355,2425.08177,2323157.496,177.6996434,145.8587969,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,5500,164.6279842,355,1707.767909,1906105.377,164.6279842,121.4114375,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,5500,155.4093893,355,926.9419773,1160976.479,155.4093893,74.29740625,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,5500,151.6268171,355,412.4406758,677278.8067,151.6268171,43.15371484,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,2750,158.1292045,355,2425.08177,733445.0845,158.1292045,184.6835469,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,2750,144.1467697,355,1707.767909,621561.9308,144.1467697,156.7091719,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,2750,133.7572891,355,926.9419773,391816.7712,133.7572891,97.37310938,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,2750,129.4110299,355,412.5672746,232443.2528,129.4110299,51.86775781,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,5750,185.7768999,355,2425.08177,2323157.496,185.7768999,134.190375,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,5750,172.1110744,355,1707.767909,1906105.377,172.1110744,111.1089063,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,5750,162.4734524,355,926.9419773,1160976.479,162.4734524,68.14110938,FE Data from Gardner's Group,
Hot-rolled,100,50,3.571428571,1.785714286,5750,158.5189451,355,412.4406758,677278.8067,158.5189451,39.63265234,FE Data from Gardner's Group,
Hot-rolled,50,100,21,10.5,2875,165.3168956,355,2425.08177,733445.0845,165.3168956,169.6163594,FE Data from Gardner's Group,
Hot-rolled,50,100,13.33333333,6.666666667,2875,150.6988956,355,1707.767909,621561.9308,150.6988956,144.2132969,FE Data from Gardner's Group,
Hot-rolled,50,100,6.666666667,3.333333333,2875,139.8371658,355,926.9419773,391816.7712,139.8371658,89.69571875,FE Data from Gardner's Group,
Hot-rolled,50,100,3.571428571,1.785714286,2875,135.2933495,355,412.5672746,232443.2528,135.2933495,47.96923828,FE Data from Gardner's Group,
Hot-rolled,100,50,21,10.5,6000,193.8541564,355,2425.08177,2323157.496,193.8541564,123.8460703,FE Data from Gardner's Group,
Hot-rolled,100,50,13.33333333,6.666666667,6000,179.5941646,355,1707.767909,1906105.377,179.5941646,101.9272188,FE Data from Gardner's Group,
Hot-rolled,100,50,6.666666667,3.333333333,6000,169.5375156,355,926.9419773,1160976.479,169.5375156,62.63835938,FE Data from Gardner's Group,
